rank,hotspot address,packet count,name,owner,lat,lng,location,reward scale,city,country
1,11npZsFTPjND7bZZfnk2mcQfryaQJDRYWcr2nwiy584bdvc6pAY,1133515,rough-mango-starling,14rHyhKPF96hBgpffUKwDAG2vwZ9GjKZZfcprfT6gvG5iz7AnhT,0,0,,,,
2,11jH3iPvTo1zPPe8YCcpFSLTCpq7i8Je9PcSQCwJqo8PvaiJVDF,1118194,macho-wooden-raccoon,14rHyhKPF96hBgpffUKwDAG2vwZ9GjKZZfcprfT6gvG5iz7AnhT,24.914963610494272,121.05264868641119,8c4ba08c02aa5ff,1.0,Yangmei District,Taiwan
3,112FJ1kNR3PHcVEppsjhmWkfzJQU7yyfeybHecwictWjcy3e2fQe,1002762,zesty-pistachio-narwhal,14rHyhKPF96hBgpffUKwDAG2vwZ9GjKZZfcprfT6gvG5iz7AnhT,24.887357094843512,121.03786771100029,8c4ba08d1b493ff,1.0,Hukou Township,Taiwan
4,112XxB1uqrD7Gas1WHrw9JSLgEFAZCJNjh9Ah2KGRvncMY7FiuqR,930878,careful-eggplant-porpoise,14rHyhKPF96hBgpffUKwDAG2vwZ9GjKZZfcprfT6gvG5iz7AnhT,24.841223462729726,120.92856348421158,8c4ba08998069ff,1.0,North District,Taiwan
5,112P4CzHoeVWL7cG7KPnV23Vd9VqgRHgf4P8jRXG6iHcjxuE5vgZ,724308,howling-cloud-haddock,14rHyhKPF96hBgpffUKwDAG2vwZ9GjKZZfcprfT6gvG5iz7AnhT,24.864069363060537,120.9988084381878,8c4ba08d059cbff,1.0,Hukou Township,Taiwan
6,14fkSkrDV5dMsmfm8pkcwe6USJkjqjqt56YiwiwpwvW99h7Yeas,686838,howling-red-tadpole,14VhXhKG8Rj5QRJ3mUx6rHP7DbXPYirCyMehv2mdUs9hioAkz5M,52.57946424989415,7.748393003588813,8c1f10db48cabff,,Bippen,Germany
7,11HNSMuYcuYF5foYp8TREcuhodkeW8GZgFUSYoFLJWsrwE543MH,673845,tall-seaweed-raven,14rHyhKPF96hBgpffUKwDAG2vwZ9GjKZZfcprfT6gvG5iz7AnhT,24.8645027930493,121.01694098083712,8c4ba08d398d9ff,1.0,Hukou Township,Taiwan
8,11bGhphJsp2TLpNh3SQPRbkz6N1yU8oA1XERUxr3AugTmNHD6ak,567490,restless-chocolate-pig,14rHyhKPF96hBgpffUKwDAG2vwZ9GjKZZfcprfT6gvG5iz7AnhT,24.87164089308404,121.01705584870564,8c4ba08d02083ff,0.6666717529296875,Hukou Township,Taiwan
9,11j6oEsLjW1AhNH5VrzaPy9tk4m8ibhxCy1ZLAuNaYMGvk4tqm7,546319,sparkly-hickory-beaver,14rHyhKPF96hBgpffUKwDAG2vwZ9GjKZZfcprfT6gvG5iz7AnhT,24.894455447088383,121.0390291037788,8c4ba08c272d9ff,0.5,Hukou Township,Taiwan
10,112ijEAjjZxmByyCjHLFTfU1Lw68DPjGCftD7rUc3hEcv5eUdnvR,507167,ripe-crepe-huskie,14rHyhKPF96hBgpffUKwDAG2vwZ9GjKZZfcprfT6gvG5iz7AnhT,24.839396766665676,121.02344711862942,8c4ba012c353dff,1.0,Zhubei City,Taiwan
11,112FDH8zUCdiqBDCynvBL2RRGHHE3tbXcmDfQ573FXZnfrHSgQxx,482760,powerful-daffodil-trout,14rHyhKPF96hBgpffUKwDAG2vwZ9GjKZZfcprfT6gvG5iz7AnhT,24.910766906765968,120.97953024038594,8c4ba08f048c3ff,1.0,Xinfeng Township,Taiwan
12,112ZzscUB42pMFN9PwfWdicEmFJWGjemGKzYgBVgRDm7ihUJcuQs,462035,rhythmic-cloud-otter,14rHyhKPF96hBgpffUKwDAG2vwZ9GjKZZfcprfT6gvG5iz7AnhT,24.881747121970378,120.99608732509505,8c4ba08d47467ff,1.0,Xinfeng Township,Taiwan
13,13EGmMmEQWD58owyf4m82miNr13hkr7ZKUMCeYWD5TTvx1KQkqc,442693,sparkly-zinc-hawk,13vK6Cd78ckZy1vhQaEBN3oqvS7vyUFWU94ePt4MYbMELGHqjCZ,50.5054532935326,6.467728818660678,8c1fa0264484dff,,Schleiden,Germany
14,112DU1AdftAcEAxEpTLfeav7wsUDr5Tqzg1iPT6LGkvb9Z6UGtNs,415847,custom-flaxen-pigeon,14rHyhKPF96hBgpffUKwDAG2vwZ9GjKZZfcprfT6gvG5iz7AnhT,24.93522515621945,121.0014142344455,8c4ba08f19221ff,1.0,Xinfeng Township,Taiwan
