rank,hotspot address,number of packets
1,13EGmMmEQWD58owyf4m82miNr13hkr7ZKUMCeYWD5TTvx1KQkqc,94542
2,14fkSkrDV5dMsmfm8pkcwe6USJkjqjqt56YiwiwpwvW99h7Yeas,91090
3,112FDH8zUCdiqBDCynvBL2RRGHHE3tbXcmDfQ573FXZnfrHSgQxx,73541
4,11Fpvi1fBNS1cpZja1BbQZBYx5dVEHmLHYMVGLtxYtLYjXMPUZY,68518
5,11npZsFTPjND7bZZfnk2mcQfryaQJDRYWcr2nwiy584bdvc6pAY,68339
6,11jH3iPvTo1zPPe8YCcpFSLTCpq7i8Je9PcSQCwJqo8PvaiJVDF,61688
7,11j6oEsLjW1AhNH5VrzaPy9tk4m8ibhxCy1ZLAuNaYMGvk4tqm7,57728
8,112nALeyBneRjQiCJYpo5X8gqsT5Xs7qHN5jJYZ2dGCEZytQ6k1J,55624
9,112ijEAjjZxmByyCjHLFTfU1Lw68DPjGCftD7rUc3hEcv5eUdnvR,54981
10,11HNSMuYcuYF5foYp8TREcuhodkeW8GZgFUSYoFLJWsrwE543MH,50853
11,112XxB1uqrD7Gas1WHrw9JSLgEFAZCJNjh9Ah2KGRvncMY7FiuqR,45555
12,112P4CzHoeVWL7cG7KPnV23Vd9VqgRHgf4P8jRXG6iHcjxuE5vgZ,43759
13,112FJ1kNR3PHcVEppsjhmWkfzJQU7yyfeybHecwictWjcy3e2fQe,41453
14,112bg4XT8y7kiYPPwWXQb9tjy8WmcRhDo8Ew6qUsCqjCvD5ntF9Q,38498
15,112wGV3wt3oKAtgE8z5S8Yv6YWp8XQ8Jx3qmgniJNrqhmC582Rty,32170
16,112DU1AdftAcEAxEpTLfeav7wsUDr5Tqzg1iPT6LGkvb9Z6UGtNs,29539
17,1124dMWjC4nzCaL9JDhJ6TYRpGhqpQyYd67rXSSPKPy6prsbW8as,25065
18,112AtpCpp8gHvwmKZjVPmjwAVQmVw3JVruJzCmd3VvPUHLbBiGcj,24850
19,1121yVsYSmWGBZZ4vaeL8582jA9SGq1K1y96UMmh8U3cFUZDLxf9,22889
20,11isHGTRYqzm3pq4vduqpZetpR5UqGhGZPSY7wkm5F3X3gmaixM,18926
21,11PxMhMSMjKPG9BEsxZSvcAcxVoh3xL397tVkcaPX84BPkCAGAo,18596
22,112WWx3PcX7LHrdSMVZvMkmgQSdCHfpsZvbWAaBT5JCKudVeesCM,18422
23,1122wABqTP6mggk9h3DKooUf2oWrUyo1r1LqWJfgnGgArsRzNYNY,16194
24,112nKjVqrJ6fjqu66nwvo8RTHgUU1MPnJPi41jMjkiihrJeUHZvH,15218
25,112iudqrm7cqqQ5AiaKXyrQsgHaqoMahi9TN89X2eQd3WdJ6HR2K,15122
26,11XjywLeaKxWiCUtQ9ZnAextgBFKT4UYww1fH51EKdQzUaPad8W,14145
27,112EjrJ1MVuYzherHUSxfbE5nHkE7NJBvqGFv27oAvtWM4r9wSBF,14075
28,11sJgnyapBbx9qPDKTqp8CpLevyLNUkQL2YLkpNTUu4S1xFmusB,13944
29,112TyKxy2hR6TE9a9XC4WuHZsnMHspQ7ziE8Sx9ZB8tZXfiq4C2z,13742
30,11S5c6nh5De9TbDrzHU1apnNXjBgPe4hWUN4ynJbQ9m6dh6fQqG,12767
